18,Мөнгөн хөрөнгийн модулийн тохиргоо дээр ямар тохиргоо хийгддэг вэ?,"Баримтын автомат дугаарлалт, гүйлгээний төрлүүдийг мөнгөн хөрөнгийн данс бүр дээр тохиргоо хийдэг. "
19,Дансны үндсэн валютыг хаана тохируулдаг вэ?,Үндсэн дансны жагсаалтаас дансаа сонгож ороод суурь валютыг тохируулна. Энэ тохиргоо нь бүх гүйлгээний дэлгэцүүд дээр ашиглагддаг.
20,Үндсэн хөрөнгийн элэгдүүлэх хугацаа болон элэгдүүлэх аргыг хаана тохируулдаг вэ? ,Үндсэн хөрөнгийн ангилал тус бүр дээр тохируулна. Хэрэв элэгдүүлэх арга болон хугацаа нь өөр бол тусдаа ангилал үүсгэж тохируулна.
21,"Харилцагч, Бэлтгэн нийлүүлэгч нь нэг бүртгэлтэй байж болох уу?",Болно. Харилцагч бол харилцагч эсэх нь сонгогдсон байгаа. Бэлтгэн нийлүүлэгч бол нийлүүлэгч эсэхийг сонгосон байна. 
22,Үндсэн хөрөнгийн эзэмшигч гэж хэн бэ?,Тухайн байгууллагын идэвхтэй ажилтан байна.
23,Үндсэн хөрөнгийн эд хариуцагч гэж хэн бэ?,"Байгууллагын дундын эзэмшлийн хөрөнгийг хариуцдаг ажилтан, эсвэл түрээсийн хөрөнгийг ашиглаж байгаа байгууллага болон хувь хүн"
24,Хуулийн элэгдлийг хэрхэн тооцдог вэ?,Үндсэн хөрөнгийн ангилал дээр тохируулсан элэгдэл тооцох хугацаа болон элэгдүүлэх аргаар хуулийн дагуу элэгдэл тооцох дэлгэц дээрээс автоматаар тооцно.
25,Хуулийн болон бүртгэлийн зорилгоор элэгдүүлсэн элэгдлийн зөрүүг хаанаас харах вэ?,Элэгдлийн тайлангаас харна
26,Ажлын захиалгын нэмэлт зардал хэсэгт ямар зардлуудыг харуулдаг вэ?,Ажилтай холбоотой гарсан материалын нэмэлт зардлуудаг харуулдаг.
27,Журналын дансны хуваарилалтын тайланг ямар зорилгоор ашигладаг вэ?,Ерөнхий дэвтрийн гүйлгээг харьцсан дансаар нь харах
28,Дансыг хэрхэн угсрах вэ?,Данс шинээр үүсгэх дэлгэцээс үндсэн дансаа сонгоод тухайн дансны ардаас залгагдах сегментүүдийг сонгож үүсгэнэ.
29,Дансны төлөвлөгөөнд орсон дансыг устгах боломжтой юу?,Тухайн үүссэн дансанд гүйлгээ ороогүй бол устгах боломжтой
30,Дансыг хэдэн орноор үүсгэх боломжтой вэ?,Үндсэн дансны ардаас хэдэн ч орон залгаж үүсгэх боломжтой
31,Үндсэн хөрөнгийн зарлагаас ямар үед авлага үүсгэх боломжтой болох вэ?,Үндсэн хөрөнгө зарлагадахдаа харилцагч сонгосон бол тухайн хөрөнгийг борлуулсан гэж үзээд авлага үүсгэх боломжтой болно.
32,Эзэмшигчгүй хөрөнгийг яаж бүртгэх вэ?,Үндсэн хөрөнгө орлогдох үед эзэмшигчгүй хөрөнгө гэсэн сонголтыг хийж бүртгэнэ.
33,Тайлант үе хаасан үед ерөнхий дэвтэр рүү гүйлгээ оруулах боломжтой юу?,"Боломжтой. Тэгэхдээ ерөнхий дэвтрийн модулийн тохиргоо дээр ""Гүйлгээг ЕД рүү шилжүүлэх"" гэсэн тохиргоог харах хэрэгтэй."
34,ЕД -ийн гүйлгээний түүх харах боломжтой юу?,Боломжтой. Дансны жагсаалт болон шалгах баланс дэлгэцүүдээс тухайн дансаа сонгон drill down хийж анхны бүртгэл хүртэл нь харах боломжтой.
35,Чекийн жагсаалт дээр ямар чекүүд харагдах вэ?,Хаагдаагүй чекүүд харагдана.
36,Олон авлагыг нэг дор хаах боломжтой юу?,"Нэг харилцагчийн олон авлагыг хааж болно, олон харилцагчийн олон авлагыг нэг дор хааж болно."
37,"Өглөгийн төлбөр төлхөд олз, гарзыг ямар үед тооцох вэ?","Үүссэн өглөгийн ханш, төлж байгаа тухайн өдрийн ханш зөрүүтэй байвал олз, гарзыг тооцоолно."
38,Татвар төлөгчийн дугаар давхардаж болох уу?,Болохгүй
39,"Ханшийн зөрүүний олз, гарзын дансыг хаана тохируулдаг вэ?","Системийн тохиргоо, Ерөнхий дэвтрийн данс "
40,Ажлын захиалгын материал зардал хэсэгт ямар зардал харагдах вэ?,Тухайн ажилтай холбоотой шууд материалын зардлууд харагдана.
41,Авлагын илүү төлөлт гэж юу вэ?,Тухайн харилцагч нь илүү төлбөр шилжүүлсэн тохиолдолд тухайн дүнгээр УОО бүртгэх боломжтой.
42,Нэг хүний нэр дээр байгаа бүх хөрөнгийг бөөнөөр нь шилжүүлэх боломжтой юу?,Тийм ээ. Үндсэн хөрөнгө шилжүүлэх дэлгэцээс бөөнөөр шилжүүлэх гэсэн сонголтыг сонгоно.
43,Валютын ханшийн мэдээг хэрхэн оруулдаг вэ?,Олон валют-Ханшийн мэдээ оруулах
44,Систем дээр шинээр валют бүртгэх боломжтой юу?,Хүссэн валют аа нэмж болно. 
45,Ямар гүйлгээнүүдийг ерөнхий дэвтэрт шилжүүлэх боломжтой вэ?,"Тухайн тайлант үе нь нээлттэй байгаа, дансны давхар бичилт нь зөв хийгдсэн байгаа гүйлгээг шилжүүлэх боломжтой."
46,Ерөнхий дэвтрийн модуль дээр гүйлгээ хийх боломжтой юу?,Боломжтой. Журнал байгуулах дэлгэц дээр бусад модулиас журнал татах боломжгүй гүйлгээг хийнэ.
47,Активити юунд ашиглагддаг вэ?,Мөнгөн гүйлгээний тайлан шууд аргаар гаргахад ашигладаг.
48,НӨАТ-н баримтыг хэсэгчилж илгээж болох уу?,Болно. Авлагын модулын НӨАТ-н урамшууллын системийн тохиргоо дэлгэцээс НӨАТ-н урамшууллын систем рүү сонгож илгээх товчийг дарж илгээх баримтуудаа сонгож илгээнэ. 
49,Ажилтан өөрөө эзэмшиж байгаа хөрөнгөнүүдийнхээ жагсаалтыг харах боломжтой юу?,Боломжтой. Ажилтан өөрөө хүний нөөцийн системээс лавлагаа дэлгэцнээс харж болно.
50,Тооллогын комиссын гишүүдийг яаж бүртгэдэг вэ?,Үндсэн хөрөнгө модулийн Тооллого - Тооллогын ажилтан
51,Үндсэн хөрөнгийг ямар аргуудаар элэгдүүлэх боломжтой вэ?,"Шулуун шугамын аргаар, Жилүүдийн нийлбэрийн аргаар, Үлдэгдэл давхар бууруулах аргуудаар элэгдүүлнэ."
52,"Бэлтгэн нийлүүлэгчийг хаана, хаанаас бүртгэх боломжтой вэ?","Өглөг-Бэлтгэн нийлүүлэгч, Авлага- Харилцагчийн жагсаалт-Нийлүүлэгч эсэх сонгох"
53,Элэгдлийг ямар хугацаагаар тооцох боломжтой вэ?,"Өдрөөр, сараар, жилээр, улирлаар, Өөрийн хүссэн хугацаагаар"
54,Хуулийн элэгдлийг хэзээ тооцож эхэлдэг вэ?,Орлогдож авсан улирлын дараа улирлын эхний сарын нэгнээс эхэлнэ.
55,Үндсэн хөрөнгө зарлагадахад элэгдлийг автоматаар тооцдог уу?,Тооцно. Элэгдүүлэх өртгөө автоматаар тооцож гаргаж ирдэг.
56,Үндсэн хөрөнгө орлогодоход БМ зарлагадах гэсэн сонголт нь ямар учиртай вэ?,Борлуулж байгаа бараанаас өөрийн албан хэрэгцээнд ашиглах зорилгоор авч буй тохиолдолд ашиглана.
57,НӨАТ-н баримтыг дахин хэвлэх боломжтой юу?,Боломжтой. Нэхэмжлэх хэвлэх дэлгэц рүү орж хэвлэнэ.
58,Ерөнхий дэвтэр рүү журнал аа яаж шилжүүлэх вэ?,Журналын жагсаалт дэлгэцээс шилжүүлэх журнал аа сонгоод mouse-ныхаа баруун товчийг дараад журнал шалгах сонголтыг хийсний дараа ЕД-лүү шилжүүлэх сонголтыг сонгож шилжүүлнэ. Зөвхөн шалгасан журналыг шилжүүлэх боломжтой.
59,Журнал шалгах үйлдэл нь юу хийдэг вэ?,"Тухайн журналын гүйлгээнүүдийн дебет, кредит дүнгүүд тэнцүү байгаа үгүйг шалгана. Мөн тайлант үе нь нээлттэй байгааг шалгана."
60,Дүн шинжилгээ дэлгэц ямар зорилготой вэ?,"Орлого, зарлагын данснуудын хувьд ашгийн бодолтыг тооцоход ашиглана."
61,Үндсэн хөрөнгийн бар код бүртгэх боломжтой юу?,Боломжтой. Үндсэн хөрөнгө орлогдох дэлгэцээс болон excel -с оруулах боломжтой. 
62,Дансны тогтмол шинж гэж юу вэ?,"Данснуудыг модулиор нь хязгаарлаж, тохируулахад ашигладаг."
63,Green Finance систем Green ERP -н бусад системтэй хэрхэн холбогддог вэ?,"Бизнесийн түнш болон ажилтны мэдээлэл нь нэг бүртгэлтэй. Авлагын модуль нь CRM-н борлуулалт хэсэгтэй, Өглөгийн модуль SCM-н худалдан авалтын хэсэгтэй, Үндсэн хөрөнгийн модуль нь HR-н ажилтны бүртгэлтэй гэх мэтээр холбогдоно."
64,Авлагын төлбөр хийхэд бусад харилцагчаас төлбөр хийж болох уу?,"Болно. Авлагын төлбөр хийх дэлгэц дээр бусад авлагаас хаах гэсэн товчийг дарж, бусад харилцагчийн авлагыг сонгож төлбөр хийнэ. "
65,"Авлага, өглөгийг дурын excel загвараас импортлох боломжтой юу?",Боломжгүй. Тогтсон Excel загварын дагуу оруулна.
66,Е-Баримт импортлохдоо дурын Excel загвараас импортлох боломжтой юу?,Боломжгүй. Е-Баримтаас гаргасан загварын дагуу оруулна.
67,Дебет мемог хэрхэн бичих вэ?,Өглөг үүсгэхдээ баримтын төрөл хэсгээс дебет мемо-г сонгож хасах дүнгээр бичнэ. Эсвэл хасах дүнгээр өглөг үүсгэхэд дебет мемо үүсгэх үү гэж асууна.
68,Кредит мемог хэрхэн бичих вэ?,Авлага үүсгэхдээ баримтын төрөл хэсгээс кредит мемог сонгож хасах дүнгээр бичнэ.  Эсвэл хасах дүнгээр өглөг үүсгэхэд кредит мемо үүсгэх үү гэж асууна.
69,Суурь валютыг хаанаас бүртгэдэг вэ?,Системийн менежмент-Байгууллагын тохиргоо
70,Ажлын захиалга руу бараа материал яаж оруулах вэ?,CRM дээрээс JB кодтой захиалгуудыг GreenFinance -н БМ оруулах дэлгэцээс сонгоно
71,Ажилтан нь байгууллагын харилцагч болж чадах уу?,"Болно. Тэгэхдээ эхлээд тухайн ажилтнаа харилцагчаар бүртгэн, Ажилтан хэсэгт тухайн ажилтнаа сонгоно."
72,Цалингийн суутгалыг хэрхэн хийдэг вэ,Ажилтан нь харилцагчаа бүртгэгдсэн байх ёстой. Авлагын төлбөр хийх дэлгэцээс цалингийн суутгал сонголтыг хийж суутгалын төрлийг оруулан төлбөрөө хийнэ.
73,GreenFinance систем нь хэдэн модультой вэ?,9 модультой
74,Ямар ямар модуль байдаг вэ?,"Ерөнхий дэвтэр, Авлага, Өглөг, Мөнгөн хөрөнгө, Үндсэн хөрөнгө, Түрээс, Ажлын захиалга, Олон валют, Тайлан"
75,Суурь валют гэж юу вэ?,Тухайн улсын үндсэн мөнгөн тэмдэгт
76,"Давтагддаг авлага, өглөгийн хязгаарын дүн гэж юу вэ?","Давтагддаг авлага, өглөг үүсгэх"
77,Мөнгөн хөрөнгийн модуль гэж юу вэ?,"Мөнгөн хөрөнгө хэсэгт тухайн байгууллагатай холбоотой мөнгөн орлого, зарлага, мөнгөн хөрөнгийн нөөц бололцоо, захиран зарцуулалт түүний хадгалалт нь ямар хэмжээнд байгаа мэдээллийг харуулдаг юм."
78,Мөнгөн хөрөнгийн модуль хэдэн дэлгэцтэй вэ?,7
79,Түрээсийн модуль юу хийдэг вэ?,"Түрээсийн модуль хэсэгт түрээслүүлж байгаа болон түрээсэлж байгаа бүх мэдээллийг бүртгэж харуулна. Түрээс гэдэг нь түрээслүүлэгч тал нь өөрийн эзэмшиж байгаа хөрөнгийг тодорхой хугацаагаар, тодорхой үнэ хөлстэйг ээр түрээслэгчид ашиглуулахаар тохирсон гэрээ. "
80,Хэдэн төрлийн түрээс байдаг вэ?,"2 /санхүүгийн түрээс, үйл ажиллагааны түрээс/"
81,Ажлын захиалгын модуль юу хийдэг вэ?,"Энэ хэсэгт гүйцэтгэх ажлын дэлгэрэнгүй мэдээлэл, ажлын захиалгатай холбоотой гарах бараа материалын зардал, ажил эхлэхээс дуусах хүртэлх өртгийн мэдээллийг агуулна."
82,Авлагын модуль юу хийдэг вэ?,"Тус хэсэгт авлагын бүртгэл, төлбөр төлөхтэй холбоотой бүхий л үйлдлүүдийг гүйцэтгэнэ "
83,Өглөгийн модуль юу хийдэг вэ?,"Тус хэсэгт өглөгийн бүртгэл, төлбөр төлөхтэй холбоотой бүхий л үйлдлүүдийг гүйцэтгэнэ "
84,Ерөнхий дэвтрийн модуль юу хийдэг вэ?,"Ерөнхий дэвтэр хэсэгт байгууллагын үндсэн данс, дансны бүтэц, журнал, авлаг, өглөг, үндсэн хөрөнгө, мөнгөн хөрөнгө дээр хийгддэг гүйлгээн үүдтэй холбоотой мэдээллээс бусад мэдээллүүд бүртгэгдэнэ.  "
85,Авлагын  модуль хэдэн дэлгэцтэй вэ?,25
86,Өглөгийн  модуль хэдэн дэлгэцтэй вэ?,17
87,Ерөнхий дэвтрийн  модуль хэдэн дэлгэцтэй вэ?,35
88,Ажлын захиалгын  модуль хэдэн дэлгэцтэй вэ?,7
89,Түрээсийн  модуль хэдэн дэлгэцтэй вэ?,20
90,Түрээслүүлэгч гэж хэн бэ?,"Түрээслүүлэгч нь түрээслэгчийн захиалгын дагуу эд хөрөнгийг өөрөө үйлдвэрлэх, буюу гуравдагч этгээдээр үйлдвэржүүлэх, эсхүл түүнээс худалдан авч гэрээний үндсэн дээр тодорхой хугацаанд, төлбөртэйг ээр түрээслэгчийн эзэмшил, ашиглалтад шилжүүлэхийг хэлнэ."
91,Үйл ажиллагааны түрээс гэж юу вэ?,Санхүүгийн түрээснээс бусад түрээсийг хэлнэ.
92,Санхүүгийн түрээс гэж юу вэ?,Санхүүгийн түрээс гэдэг нь
93,,хөрөнгийн өмчлөлтэй холбогдсон бараг бүх эрсдэл болон урамшууллыг шилжүүлэх нөхцөл бүхий түрээс юм
94,Санхүүгийн түрээс хэдэн шалгууртай вэ?,5
95,Санхүүгийн түрээсийг сарын эхэнд төлөх бол хүү бодогдох уу?,Бодогдохгүй.
96,Олон валютын модуль юу хийдэг вэ?,Олон төрлийн валют ашигладаг байгууллагуудын хувьд энэхүү дэлгэцийг ашиглана. Олон валют хэсэгт валюттай холбоотой бүх төрлийн мэдээлэл бүртгэгдэнэ
97,Олон валютын модуль хэдэн дэлгэцтэй вэ?,14
98,Түрээс гэж юу вэ?,Түрээс гэдэг нь түрээслэгч болон түрээслүүлэгчийн хооронд хийгдэж байгаа гэрээ бөгөөд түрээслүүлэгчийн эзэмшиж буй хөрөнгийг тодорхой хугацаагаар ашиглах эрхийг түрээслэгчид өгч байгааг харуулдаг.
99,Түрээснээс авлага хэдэн янзаар үүсгэх боломжтой вэ?,"2 /хөрөнгөөр, сараар/"
100,GreenFinance систем гэж юу вэ?,ERP системийн үндсэн модуль бөгөөд байгууллагын санхүүгийн урсгалыг бүртгэж тайлан гаргах зориулалттай.
