,АСУУЛТ,ХАРИУЛТ
32,Сургалтын нэгдсэн төлөвлөгөөг хэрхэн үүсгэх вэ?,"Сургалтын нэгдсэн төлөвлөгөөг үүсгэхийн тулд Сургалт, хөгжил=>Төлөвлөгөө хэсгээс оруулах боломжтой. Та Нэгдсэн төлөвлөгөөний жагсаалтаас шинэ дарснаар төлөвлөгөөний дэлгэц рүү орох бөгөөд төлөвлөгөөт оныг сонгож хайх дарснаар үүсгэх боломжтой. Хэрэв Байгууллагын нэгжийн сургалтын төлөвлөгөө гарсан байвал Сургалтын хэрэгцээг хуулах товчийг дарснаар хэрэгцээт мэдээллүүд автоматаар хуулагдаж орж ирэх боломжтой."
33,Явагдах сургалтын ирцийг яаж бүртгэх вэ?,Явагдах сургалтын ирцийг 2 аргаар бүртгэх боломжтой. Явагдах сургалтын хэсэгт Явагдах сургалтын ирц дэлгэцээр орж ирц оруулах явагдах сургалтыг сонгосноор ирцийг оруулах боломжтой. Мөн тухайн явагдах сургалтын бүртгэлийн дэлгэцээс ирцийг оруулах боломжтой. Ирцийг тухайн ажилтан тухайн өдөр сургалтад суусан эсэхээр бүртгэх боломжтой.
34,Сургалтын лавлагаануудыг хаанаас авах вэ?,"Та Сургалт, хөгжил=>Лавлагаа цэс рүү орсноор олон төрлийн сургалтын лавлагаанууд руу орох боломжтой."
35,Группийн хэмжээний явагдах сургалтыг системээр яаж бүртгэх вэ?,"Хүний нөөц=>Сургалт, хөгжил хэсэгт Явагдах сургалт - Групп гэсэн дэлгэц рүү орж бүртгэх боломжтой. Тухайн бүртгэл нь явагдах сургалтын дэлгэцтэй ижил зарчмаар ажилладаг бөгөөд бусад сургалтад ажилтнуудаа суулгах компаниудыг нэмж бүртгэх боломжтой."
36,Ерөнхий үнэлгээ яаж хийх вэ?,Ерөнхий үнэлгээ хийхийн тулд та эхлээд үнэлгээний загвар үүсгэх хэрэгтэй. Түүний дараа сонгосон загварын дагуу харгалзах ажилтнуудад үнэлгээ үүсгэх боломжтой.
37,Үнэлгээний загвар яаж үүсгэх вэ?,Та ямар үнэлгээ хийх гэж байгаа вэ?
38,Ерөнхий үнэлгээ,"Ерөнхий үнэлгээний загвар үүсгэхийн тулд та Хүний нөөц=>Үнэлгээ=>Ерөнхий үнэлгээ=>Бүртгэл=>Үнэлгээний загварын жагсаалт цэсээр орно. Шинэ товч дарснаар шинэ загвар үүсгэх боломжтой бөгөөд Код, нэр зэрэг шаардлагатай утгуудыг оруулж өгнө. Тухайн үнэлгээний асуултууд болон харгалзах хариултуудыг оруулж хадгалснаар загвар бэлэн болно."
39,Ерөнхий үнэлгээний хариултуудын оноог заавал өгөх хэрэгтэй юу?,Хэрэв та тухайн асуултад юу гэж хариулснаас хамаарч оноогоор дүгнэх гэж байгаа бол эсвэл нийлбэр оноо авах гэж байгаа бол оноо өгөх хэрэгтэй.
40,Ерөнхий үнэлгээний ямар лавлагаанууд байгаа вэ?,"Ерөнхий үнэлгээний дөрвөн төрлийн лавлагаа байгаа бөгөөд ажилтан бүрийн үнэлгээг дэлгэрэнгүй задалж асуулт бүрт юу гэж хариулсан, нийт хэдэн оноо авсан зэргийг харах боломжтой тайлангууд системд байгаа."
41,Лавлагаанд үнэлгээ харагдахгүй байна.,Та ямар үнэлгээ хийх гэж байгаа вэ?
42,Ерөнхий үнэлгээ,Тухайн үнэлгээний төлөв нь дууссан төлөвт орсноор лавлагаанд харагдах боломжтой болно. Тухайн үнэлгээ дууссан эсвэл одоо хийгдэж байгаа эсэхийг та Ажилтны үнэлгээний жагсаалтаас харах боломжтой.
43,Ур чадварын үнэлгээ гэж юу вэ?,"УЧҮ нь тухайн ажилтныг тухайн ажлын байрныхаа эсвэл дэвшүүлэх гэж буй ажлын байранд шаардлагатай ур чадварыг хангаж байгаа эсэх, аль ур чадвар дээр дутагдалтай байгаа эсэхийг тодорхойлох зорилготой үнэлгээ юм."
44,УЧҮ яаж үүсгэх вэ?,"Ур чадварын үнэлгээ 2 аргаар үүсгэх боломжтой. Ур чадварын үнэлгээ үүсгэх дэлгэцээр үүсгэхдээ Байгууллагын нэгжийг сонгосноор тухайн байгууллагын нэгжийн ажилтнуудын жагсаалт гарч ирнэ. Тухайн ажилтнуудаас үнэлгээ үүсгэх ажилтнууд болон үнэлгээ хийх ажлын байрнуудыг сонгож үнэлгээ үүсгэх товчийг дарснаар үүсгэх боломжтой. Үүний тулд тухайн үнэлэх ажлын байрны АБТ-д шаардагдах ур чадварууд болон харгалзах ур чадварын түшингүүт орсон байх шаардлагатай. Харин Ур чадварын үнэлгээ үүсгэх - Ажилтнаар дэлгэцээр үүсгэхдээ Байгууллагын нэгж, Ажлын байр сонгох шаардлагатай бөгөөд сонгосон ажлын байрны АБТ-н дагуу үнэлэх үзүүлэлтүүд гарч ирнэ. Хэрэв нэмэх эсвэл засварлах үзүүлэлтүүд байгаа бол засварлаад үүсгэх боломжтой."
45,УЧҮ яаж ажилладаг вэ?,Та эхлээд харгалзах ажилтнуудад УЧҮ-г үүсгэх хэрэгтэй бөгөөд үүсгэсэн ажилтнууд веб порталаар орж өөрийгөө үнэлнэ. Үүний дараа удирдах ажилтан тухайн ажилтнуудыг үнэлэх бөгөөд зөрүүтэй ур чадваруудын хувьд тухайн ажилтанд ХХТ үүсгэх боломжтой.
46,Ур чадварын үнэлгээний лавлагаа байгаа юу?,Та ур чадварын үнэлгээний лавлагаа хэсгээс хэрэгцээтэй лавлагаануудыг олох боломжтой.
47,Надад зөвхөн миний удирдлагад ажилладаг ажилтнуудын үнэлгээг харуулдаг уу?,Үнэлгээний дэлгэцүүд нь зөвхөн үнэлгээнд оролцох ажилтнуудад харагдах бөгөөд та хэрэгцээт лавлагаануудаас өөрийн удирдлаганд байгаа ажилтнуудын үнэлгээний мэдээллийг харах боломжтой. Үүний тулд эхлээд Дэд эрхийн тохиргоо хийх шаардлагатайг анхаарна уу.
48,УЧҮ-г олон хүмүүс үнэлж болох уу?,УЧҮ-г үнэлэгчдийн хувьд эцсийн нэг үнэлэгч байх бөгөөд дундын хэдэн ч үнэлэгч үнэлэх боломжтой. Үүний тулд УЧҮ үүсгэх - Ажилтнаар дэлгэцийн хувьд үүсгэх бөгөөд нэгэнт үүссэн үнэлгээнд дундын үнэлэгч нэмэхдээ УЧҮ засварлах жагсаалтаас харгалзах үнэлгээ рүү орж нэмэх боломжтой.
49,Үнэлгээгээ үүсгэх гэхэд харагдахгүй байна.,Та ямар үнэлгээ хийх гэж байгаа вэ?
50,ГҮ,Гүйцэтгэлийн үнэлгээ үүсгэхийн тулд та 2 аргаар үүсгэх боломжтой.
51,,1. Та Гүйцэтгэлийн үнэлгээний төлөвлөгөө үүсгээд Төлөвлөсөн төлөвт оруулснаар Гүйцэтгэлийн үнэлгээ үүсгэх дэлгэцээр үүсгэх боломжтой.
52,Гүйцэтгэлийн үнэлгээ,"2. Гүйцэтгэлийн үнэлгээ төлөвлөгөөгүй үүсгэх дэлгэц рүү орж Байгууллагын нэгж, Ажлын байр, огноо хэсгүүдийг оруулах хайх дарж, загварыг татан үнэлгээ үүсгэх ажилтнуудыг сонгосноор үүсгэх боломжтой."
53,Үнэлгээний үзүүлэлтийг яаж бүртгэх вэ?,Хүний нөөц=>Үнэлгээ=>Гүйцэтгэлийн үнэлээ=>Бүртгэл хэсгээс бүртгэх боломжтой.
54,ГҮ-г олон хүн үнэлэх боломжтой юу?,ГҮ-нд нэг эцсийн үнэлгээ хийгч байх шаардлагатай бөгөөд дундын хэдэн ч үнэлгээ хийгч байх боломжтой. Дундын үнэлгээ хийгчдийг ГҮ үүсгэх болон ГҮ засварлах дэлгэцүүдээс сонгож тохируулах боломжтой.
55,ГҮ дүнг бөөнөөр нь оруулж болох уу?,Гүйцэтгэлийн үнэлгээний үзүүлэлт нь хэрэв туслах төрөлтэй бол тухайн үзүүлэлтийн утгуудыг экселээс бөөнөөр оруулах боломжтой. Бусад үзүүлэлтийн утгуудыг Ажилтан болон удирдах ажилтнууд веб болон десктоп програмаар оруулах боломжтой.
56,ГҮ бөөнөөр үүсгэх дэлгэц яадаг вэ?,Энэ дэлгэц нь ГҮ-ний төлөвлөгөөнүүдийн дагуу үүсэх боломжтой ажилтнуудын мэдээллийг харуулдаг бөгөөд сонгосон ажилтнуудад ГҮ үүсгэдэг дэлгэц юм.
57,ГҮ оруулахад эцсийн дүн нь буруу харагдаж байна.,Та алдааны мэдээллийг манай support-н багийн имэйл рүү илгээнэ үү.
58,Гүйцэтгэлийн үнэлгээний дүнгийн дагуу урамшуулал яаж бодох вэ?,Гүйцэтгэлийн урамшуулалын жагсаалт дэлгэцээс ажилтнуудын ГҮ-ний эцсийн дүнд хамааруулан үндсэн цалингаас эсвэл тодорхой дүнгээс хувилж ажилтнуудад урамшуулал бодох боломжтой. Бодогдсон урамшуулалыг батлахад тухайн ажилтнуудад сонгосон хөнгөлөлт хангамжийн төрлөөр хөнгөлөлт хангамж үүсдэг бөгөөд хэрэв цалингийн тооцоонд ашиглахаар сонгосон бол цалин бодолтонд автоматаар орж ирэх боломжтой.
59,Урамшуулал бодохдоо ирцийн хувиас хамааруулж болох уу?,"Урамшуулал бодох дэлгэцэд Цагаар хувь тооцох эсэх сонголт байгаа бөгөөд сонголтыг хийсэн үед ажилтан бүрийн ирцийн хувь тооцогдож, тооцогдсон ирцийн хувийн дагуу урамшууллын дүнгээс хувилж эцсийн дүнг гаргадаг."
60,ГҮ нэгдсэн лавлагаа /сараар/ лавлагаа яаж ажилладаг вэ?,"Тухайн лавлагаанд сараар төрөлтэй, үнэлсэн төлөвтэй үнэлгээний ажилтан бүрийн хувьд харагдах бөгөөд сар бүрийн төлөвлөгөө болон, биелүүлсэн багануудад харгалзах утгууд харагдана."
61,ГҮ-ний үзүүлэлтийг мөнгөн дүнгээс бодох боломжтой юу?,"Боломжтой. Жишээ нь Борлуулалтын дүнгээс хамаарч үзүүлэлтийг үнэлдэг бол борлуулалтын төлөвлөгөө нь 5000000 байсан гэе. Тухайн үзүүлэлт нь нийт үнэлгээний 20 хувийг эзэлдэг бол Хувь баганад 20, Зорилтот утга баганад 5000000 гэж оруулах байдлаар үнэлгээг үүсгэнэ. Систем оруулсан дүнгээр пропорцлон үнэлгээг боддог."
62,Лавлагаанууд яаж авах вэ?,Системүүдийн дэд модуль бүр нь Лавлагаа хэсэгтэй бөгөөд тухайн хэсгүүдээс шаардлагатай мэдээллүүдийг авах боломжтой. Үүнээс гадна модулийн ерөнхий лавлагаа хэсэгт компанийн болон группын олон төрлийн лавлагаанууд байгаа.
63,Байгууллагын шилжилт хөдөлгөөнийг хаанаас харах вэ?,Хүний нөөц=>Лавлагаа=>Группийн хэмжээний тайлан=>Шилжилт хөдөлгөөний лавлагаа хэсэгт шилжилт хөдөлгөөнтэй холбоотой лавлагаанууд байгаа.
64,Өнөөдрийн байдлаар ажиллаж буй ажилтнуудын жагсаалтыг хаанаас авах вэ?,Компанид ажил эрхэлж буй ажилтнуудын жагсаалт болон Идэвхтэй ажилтнуудын жагсаалтаас авах боломжтой.
65,Цагийн хуваарь яаж үүсгэх вэ?,Цаг бүртгэл=>Хуваарь=>Цагийн хуваарийн жагсаалт дэлгэц рүү орж бүртгэх боломжтой.
66,Ирэх явах цагийг яаж оруулах вэ?,"Цагийн хуваарийн бүртгэлийн дэлгэцэн дэлгэрэнгүй хэсэгт эхлэх өдөр, дуусах өдөр, эхлэх цаг, дуусах цаг зэргийг оруулах боломжтой. Мөн тухайн мөрийн хувьд Цагийн шалгалтыг оруулах бөгөөд Эхлэх цагийг шалгах болон дуусах цагийг шалгахаас хамаарч оролтын эхлэх, оролтын дуусах, гаралтын эхлэх, гаралтын дуусах минут зэргийг оруулах шаардлагатай."
67,Ажилтнуудад цагийн хуваарь яаж үүсгэх вэ?,Ажилтнуудад 2 аргаар цагийн хуваарь оноож өгөх боломжтой. 1-д ажилтны цагийн хуваарь дэлгэцээр ажилтан бүрт тухайн өдөрт ямар хуваариар ажиллахыг ногдуулж өгдөг. 2-д хэрэв ямар нэг байгууллага нэгжийн ажилтнууд ижил хувиар аар ажилладаг бол тухайн байгууллагын нэгжийн ажилтнууд энэ өдөр энэ хуваариар ажиллана гэж үүсгэж өгөх боломжтой. Ингэснээр тухайн байгууллагын нэгжийн бүх ажилтнууд тухайн өдөр сонгосон хуваарийн дагуу ажиллах боломжтой болно.
68,Шинэ ажилтан ороход цаг бүртгэлд юу юу тохируулах вэ?,Шинээр ажилтан ажилд орсон үед юуны түрүүнд ажилтны төхөөрөмж дэх дугаарын тохиргоог хийнэ. Ингэснээр төхөөрөмжөөс хуруу бүртгүүлсэн мэдээллийг зөв татах боломжтой болно. Үүний дараа Ирц бүртгүүлэх байршлыг тохируулах шаардлагатай. Мөн тухайн ажилтан байгууллагын нэгжийн бусад ажилтнуудаас өөр цагийн хуваариар ажиллах бол ажилтны цагийн хуваарь тохируулж өгөх шаардлагатай.
69,Ээлжийн хуваариар ажилладаг хүмүүсийн хуваарийг яаж тохируулах вэ?,Ээлжийн хуваариар ажилладаг ажилтнуудын цагийн хуваарийн төрлийг Ээлжийн гэж сонгох бөгөөд ингэснээр тухайн ажилтнууд бүх нийтээр амрах өдөр хуваарьтай бол хуваарийн дагуу ажиллах ёстой болно.
70,Ирцийн төрөлд юу тохируулах вэ?,Ирцийн төрөл хэсэгт тодорхой категориудад хамаарах ирцийн хүсэлтийн төрлүүдийг бүртгэж өгнө.
71,Ирцийн хүсэлт яаж үүсгэх вэ?,"Ажилтнууд веб порталаар нэвтэрч ороод тохирох ирцийн төрөл, шалтгаан огноог оруулж бүртгэх боломжтой."
72,Ирцийн мэдээ яаж нэгтгэх вэ?,Ирцийн мэдээ нэгтгэх дэлгэц рүү орж хугацааны интервал болон байгууллагын нэгжийг сонгон Нэгтгэх товчийг дарснаар ирцийн мэдээг нэгтгэнэ. Хэрэв нэг ажилтны мэдээллийг нэгтгэх бол тухайн ажилтныг сонгож болно. Хэрэв тухайн ирц мэдээ нь баталгаажсан бол нэгтгэл хийгдэхгүй.
73,Ирц уншуулдаггүй ажилтнуудыг яах вэ?,"Хэрэв тухайн ажилтан ирц уншуулдаггүй буюу ирцийг бүтнээр тооцдог бол тухайн ажилтнуудын ирцийг автоматаар оруулах боломжтой. Ингэхийн тулд Ирц бөөнөөр оруулах дэлгэц рүү орж Ирэх, явах сонголтыг сонгож хадгалах дарснаар автоматаар хуруугаа уншуулсан байдлаар бүртгэл хадгалагдана."
74,Ирцийн төхөөрөмжгүй газруудын ирцийг яаж оруулдаг вэ?,Хэрэв төхөөрөмжгүй буюу сүлжээний хувьд боломжгүй байгууллага нэгж эсвэл бүлэг ажилтнуудын хувьд Ирц гараар бүртгэх дэлгэцийг ашиглах боломжтой. Ирц гараар бүртгэх бүлэг сонгож өгөх шаардлагатай бөгөөд ирцийг бүртгэх ажилтны томилж өгөх шаардлагатай. Үүний дараа тухайн ирц бүртгэх ажилтан нь веб портал болон десктоп програмаар ажилтнуудын ирцийг гараар бүртгэх боломжтой ба тухайн бүртгэсэн ирц нь ирцийн нэгтгэл хийгдэж баталгаажуулсны дараа цалингийн модульд ашиглах боломжтой болно.
75,Ирц гараар оруулахдаа яаж оруулдаг вэ?,Ирц гараар бүртгэх эрхтэй ажилтан нь веб болон десктоп программаар нэвтэрч орон өөрийн удирдаж буй бүлгийн ажилтнуудын цагийг өдөр өдрөөр оруулах боломжтой. Тухайн сарын буюу 2 интервалын хоорондох бүх цагийг хураангуй байдлаар буюу нийлбэр байдлаар бүртгэлийн дэлгэцийн доор байрлах лавлагаанаас харах боломжтой.
76,Ирцийн хүсэлт батлагдсан боловч тасалсан гэж гарч байна.,Тухайн өдрийн цаг нэгтгэлийг хийгээд баталгаажуулсан үед тухайн өдөр ирцийн хүсэлт батлагдсан эсвэл хурууны мэдээлэл оруулсан хэдий ч тухайн өгөгдлүүд нэгтгэлд орохгүй. Өөрөөр хэлбэр тухайн баталгаажсан нэгтгэлийг дахиж өөрчилдөггүй тул баталгаажилтыг больсны дараа дахин нэгтгэх хэрэгтэй. Ингэснээр цаг нэгтгэлд орж ирэх боломжтой.
77,Цагийн хуваарийг бөөнөөр яаж харах вэ?,"Байгууллагын нэгжийн болон ажилтны цагийн хуваарийг бүртгэлийн дэлгэцээс интервал болон байгууллагын нэгжээр шүүж харах боломжтой бөгөөд Цагийн хуваарь - Календарь, Ажилтны цагийн хуваарь календарь дэлгэцүүдээс календарь хэлбэрээр бөөнөөр харах боломжтой."
78,Ажилтны цагийн хуваарь - Календарь дэлгэцээс шууд цагийн хуваарь үүсгэх боломжтой юу?,Боломжгүй. Та хүсэлтээ манай support-н баг руу имэйлээр илгээнэ үү. Таны хүсэлт манай дараа дараагийн шинэчлэлүүдэд хийгдэх боломжтой.
